latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.25,7.5,285.0,3600,Europe/Berlin,CET

time,temperature_2m (°C),relativehumidity_2m (%),apparent_temperature (°C),precipitation (mm),cloudcover (%)
2021-01-01T00:00,3.3,91,0.8,0.00,100
2021-01-01T01:00,2.8,93,0.2,0.00,100
2021-01-01T02:00,2.6,93,-0.1,0.00,100
2021-01-01T03:00,2.3,95,-0.3,0.10,100
2021-01-01T04:00,2.0,96,-0.4,0.00,100
2021-01-01T05:00,1.5,97,-1.1,0.00,100
2021-01-01T06:00,1.6,96,-0.8,0.00,100
2021-01-01T07:00,1.0,98,-1.4,0.00,100
2021-01-01T08:00,1.2,97,-1.2,0.00,100
2021-01-01T09:00,1.0,98,-1.4,0.00,98
2021-01-01T10:00,1.7,96,-0.6,0.00,80
2021-01-01T11:00,2.2,92,-0.6,0.00,74
2021-01-01T12:00,2.5,88,-0.3,0.00,100
2021-01-01T13:00,2.7,84,-0.1,0.00,100
2021-01-01T14:00,2.8,84,-0.1,0.00,100
2021-01-01T15:00,3.0,82,0.1,0.00,100
2021-01-01T16:00,2.7,84,-0.0,0.00,98
2021-01-01T17:00,1.9,89,-0.9,0.00,91
2021-01-01T18:00,1.5,92,-1.3,0.00,100
2021-01-01T19:00,1.2,93,-1.6,0.00,97
2021-01-01T20:00,0.3,94,-2.7,0.00,78
2021-01-01T21:00,0.9,93,-2.1,0.00,65
2021-01-01T22:00,0.9,93,-2.3,0.00,70
2021-01-01T23:00,0.7,93,-2.5,0.00,100
2021-01-02T00:00,0.3,93,-3.2,0.00,97
2021-01-02T01:00,0.2,93,-3.1,0.00,100
2021-01-02T02:00,0.0,94,-3.4,0.00,99
2021-01-02T03:00,0.2,94,-3.3,0.00,91
2021-01-02T04:00,0.2,95,-3.3,0.00,76
2021-01-02T05:00,0.2,94,-3.4,0.00,100
2021-01-02T06:00,0.2,95,-3.3,0.00,100
2021-01-02T07:00,0.2,95,-3.6,0.00,100
2021-01-02T08:00,0.2,95,-3.6,0.00,100
2021-01-02T09:00,0.2,95,-3.6,0.00,100
2021-01-02T10:00,0.7,92,-3.3,0.00,97
2021-01-02T11:00,0.8,95,-3.4,0.00,100
2021-01-02T12:00,1.2,93,-3.2,0.00,100
2021-01-02T13:00,1.5,90,-3.1,0.00,100
2021-01-02T14:00,1.6,89,-2.9,0.00,100
2021-01-02T15:00,1.7,87,-2.7,0.00,100
2021-01-02T16:00,1.6,83,-2.6,0.00,100
2021-01-02T17:00,1.7,81,-2.6,0.00,100
2021-01-02T18:00,1.6,79,-2.7,0.00,89
2021-01-02T19:00,1.4,79,-2.9,0.00,96
2021-01-02T20:00,1.3,80,-2.8,0.00,100
2021-01-02T21:00,1.2,81,-2.9,0.00,100
2021-01-02T22:00,1.2,83,-2.9,0.00,100
2021-01-02T23:00,0.9,85,-3.0,0.00,100
2021-01-03T00:00,0.9,85,-3.1,0.00,100
2021-01-03T01:00,0.9,86,-2.8,0.00,100
2021-01-03T02:00,0.8,87,-2.8,0.10,100
2021-01-03T03:00,0.7,89,-2.8,0.20,100
2021-01-03T04:00,0.5,90,-3.0,0.20,100
2021-01-03T05:00,0.3,92,-3.2,0.20,100
2021-01-03T06:00,0.3,93,-3.1,0.20,100
2021-01-03T07:00,0.1,94,-3.2,0.30,100
2021-01-03T08:00,0.1,95,-3.1,0.30,100
2021-01-03T09:00,-0.1,96,-3.2,0.20,100
2021-01-03T10:00,0.0,95,-3.3,0.10,100
2021-01-03T11:00,0.2,91,-3.0,0.00,100
2021-01-03T12:00,0.4,91,-2.8,0.00,100
2021-01-03T13:00,0.7,89,-2.3,0.00,100
2021-01-03T14:00,0.7,89,-1.9,0.00,100
2021-01-03T15:00,0.8,88,-1.9,0.00,100
2021-01-03T16:00,0.8,88,-1.9,0.00,100
2021-01-03T17:00,0.1,93,-2.4,0.00,100
2021-01-03T18:00,0.8,88,-1.8,0.00,100
2021-01-03T19:00,0.8,89,-1.8,0.00,100
2021-01-03T20:00,0.7,88,-1.9,0.00,92
2021-01-03T21:00,0.7,89,-1.9,0.00,85
2021-01-03T22:00,0.6,91,-2.0,0.00,100
2021-01-03T23:00,0.1,96,-2.5,0.00,81
2021-01-04T00:00,0.2,96,-2.4,0.00,74
2021-01-04T01:00,-0.1,96,-2.4,0.00,70
2021-01-04T02:00,-0.3,96,-2.7,0.00,64
2021-01-04T03:00,-0.2,95,-2.7,0.00,64
2021-01-04T04:00,0.2,94,-2.4,0.00,78
2021-01-04T05:00,0.1,94,-2.1,0.00,79
2021-01-04T06:00,0.4,95,-1.9,0.00,74
2021-01-04T07:00,-0.6,96,-3.5,0.00,78
2021-01-04T08:00,0.2,96,-2.7,0.00,51
2021-01-04T09:00,0.4,97,-2.2,0.00,51
2021-01-04T10:00,1.0,96,-1.7,0.00,42
2021-01-04T11:00,1.5,91,-1.6,0.00,64
2021-01-04T12:00,1.5,88,-2.0,0.00,100
2021-01-04T13:00,1.6,87,-2.2,0.00,100
2021-01-04T14:00,1.6,84,-2.3,0.00,100
2021-01-04T15:00,1.6,83,-2.2,0.00,100
2021-01-04T16:00,1.6,81,-2.1,0.00,100
2021-01-04T17:00,1.5,81,-2.2,0.00,100
2021-01-04T18:00,1.3,82,-2.6,0.00,87
2021-01-04T19:00,1.1,82,-2.6,0.00,99
2021-01-04T20:00,1.2,81,-2.6,0.00,73
2021-01-04T21:00,0.9,82,-3.0,0.00,72
2021-01-04T22:00,0.6,82,-3.3,0.00,71
2021-01-04T23:00,0.3,82,-3.0,0.00,68
2021-01-05T00:00,0.2,82,-3.4,0.00,57
2021-01-05T01:00,0.2,81,-3.3,0.00,74
2021-01-05T02:00,0.2,80,-3.2,0.00,85
2021-01-05T03:00,0.1,82,-3.1,0.00,94
2021-01-05T04:00,-0.0,84,-3.2,0.00,85
2021-01-05T05:00,0.0,85,-3.1,0.00,94
2021-01-05T06:00,0.0,88,-3.0,0.00,97
2021-01-05T07:00,0.1,90,-2.8,0.00,99
2021-01-05T08:00,0.1,92,-2.7,0.00,100
2021-01-05T09:00,0.2,93,-2.4,0.00,100
2021-01-05T10:00,0.5,94,-2.3,0.00,100
2021-01-05T11:00,0.8,89,-2.5,0.00,100
2021-01-05T12:00,0.9,85,-2.4,0.00,100
2021-01-05T13:00,0.8,84,-2.4,0.00,100
2021-01-05T14:00,0.8,84,-2.7,0.00,100
2021-01-05T15:00,1.0,82,-2.7,0.00,100
2021-01-05T16:00,1.1,84,-2.4,0.00,100
2021-01-05T17:00,1.2,86,-1.9,0.00,100
2021-01-05T18:00,1.2,90,-1.9,0.00,100
2021-01-05T19:00,1.1,92,-2.1,0.00,100
2021-01-05T20:00,1.3,93,-1.7,0.10,100
2021-01-05T21:00,0.9,94,-2.0,0.10,98
2021-01-05T22:00,1.0,94,-2.0,0.20,94
2021-01-05T23:00,1.1,98,-1.7,0.10,100
2021-01-06T00:00,1.2,97,-1.5,0.00,100
2021-01-06T01:00,1.3,97,-1.3,0.00,100
2021-01-06T02:00,1.3,97,-1.3,0.00,100
2021-01-06T03:00,1.1,99,-1.6,0.00,100
2021-01-06T04:00,1.1,99,-1.6,0.00,100
2021-01-06T05:00,1.0,99,-2.0,0.00,100
2021-01-06T06:00,0.9,98,-1.9,0.00,100
2021-01-06T07:00,0.7,99,-2.1,0.00,100
2021-01-06T08:00,0.8,99,-1.9,0.30,100
2021-01-06T09:00,0.8,99,-1.8,0.30,100
2021-01-06T10:00,0.8,99,-2.0,0.20,100
2021-01-06T11:00,0.8,99,-2.2,0.10,100
2021-01-06T12:00,1.0,96,-1.8,0.00,100
2021-01-06T13:00,0.9,98,-1.8,0.00,100
2021-01-06T14:00,1.2,95,-1.3,0.00,100
2021-01-06T15:00,1.3,94,-1.1,0.00,100
2021-01-06T16:00,1.3,94,-0.9,0.00,100
2021-01-06T17:00,0.9,98,-1.3,0.00,100
2021-01-06T18:00,0.8,96,-1.5,0.00,100
2021-01-06T19:00,0.7,96,-1.8,0.00,100
2021-01-06T20:00,0.7,96,-1.8,0.00,100
2021-01-06T21:00,0.2,96,-2.5,0.00,100
2021-01-06T22:00,0.6,95,-2.2,0.00,95
2021-01-06T23:00,0.9,96,-1.9,0.00,68
2021-01-07T00:00,1.2,96,-1.9,0.00,46
2021-01-07T01:00,1.3,96,-1.8,0.00,41
2021-01-07T02:00,1.2,96,-1.9,0.00,55
2021-01-07T03:00,1.2,96,-1.7,0.00,58
2021-01-07T04:00,1.1,96,-1.8,0.00,59
2021-01-07T05:00,1.4,96,-1.3,0.00,31
2021-01-07T06:00,1.1,96,-1.7,0.00,46
2021-01-07T07:00,1.3,96,-1.5,0.00,65
2021-01-07T08:00,1.2,97,-1.4,0.00,71
2021-01-07T09:00,1.2,96,-1.5,0.00,60
2021-01-07T10:00,1.7,96,-1.0,0.00,66
2021-01-07T11:00,2.2,89,-0.5,0.00,39
2021-01-07T12:00,2.6,81,-0.3,0.00,53
2021-01-07T13:00,3.0,77,-0.0,0.00,36
2021-01-07T14:00,3.2,75,0.1,0.00,47
2021-01-07T15:00,3.0,76,0.1,0.00,33
2021-01-07T16:00,3.0,76,0.5,0.00,25
2021-01-07T17:00,2.1,81,-0.9,0.00,12
2021-01-07T18:00,1.7,84,-1.5,0.00,12
2021-01-07T19:00,1.1,89,-2.2,0.00,15
2021-01-07T20:00,0.4,91,-3.0,0.00,27
2021-01-07T21:00,0.3,91,-3.0,0.00,29
2021-01-07T22:00,1.0,88,-2.2,0.00,31
2021-01-07T23:00,-0.1,91,-3.5,0.00,35
2021-01-08T00:00,-0.1,91,-3.3,0.00,26
2021-01-08T01:00,0.5,90,-2.7,0.00,25
2021-01-08T02:00,0.5,90,-2.8,0.00,29
2021-01-08T03:00,0.7,89,-2.5,0.00,31
2021-01-08T04:00,0.4,91,-2.7,0.00,38
2021-01-08T05:00,0.6,90,-2.5,0.00,31
2021-01-08T06:00,0.5,91,-2.6,0.00,41
2021-01-08T07:00,0.5,91,-2.6,0.00,54
2021-01-08T08:00,0.4,90,-2.7,0.00,94
2021-01-08T09:00,0.3,90,-2.9,0.00,100
2021-01-08T10:00,0.7,90,-2.4,0.00,88
2021-01-08T11:00,1.5,84,-1.8,0.00,65
2021-01-08T12:00,2.0,80,-1.6,0.00,100
2021-01-08T13:00,2.4,74,-1.4,0.00,100
2021-01-08T14:00,2.4,72,-1.1,0.00,92
2021-01-08T15:00,2.4,69,-1.1,0.00,98
2021-01-08T16:00,2.3,71,-0.7,0.00,92
2021-01-08T17:00,2.1,70,-0.7,0.00,90
2021-01-08T18:00,0.1,84,-2.8,0.00,74
2021-01-08T19:00,-0.6,88,-3.4,0.00,46
2021-01-08T20:00,-0.5,86,-3.3,0.00,52
2021-01-08T21:00,0.1,83,-2.5,0.00,69
2021-01-08T22:00,-0.0,84,-2.5,0.00,83
2021-01-08T23:00,-0.6,86,-3.2,0.00,98
2021-01-09T00:00,-0.5,86,-3.2,0.00,78
2021-01-09T01:00,-0.4,85,-3.2,0.00,48
2021-01-09T02:00,-0.6,86,-3.6,0.00,51
2021-01-09T03:00,-2.0,91,-5.2,0.00,65
2021-01-09T04:00,-2.0,93,-5.0,0.00,71
2021-01-09T05:00,-1.6,94,-4.7,0.00,85
2021-01-09T06:00,-1.8,95,-5.4,0.00,79
2021-01-09T07:00,-1.7,96,-5.4,0.00,79
2021-01-09T08:00,-1.5,95,-5.3,0.00,80
2021-01-09T09:00,-1.6,95,-5.4,0.00,80
2021-01-09T10:00,-1.2,94,-5.3,0.00,95
2021-01-09T11:00,-0.2,89,-4.2,0.00,91
2021-01-09T12:00,0.5,85,-3.9,0.00,82
2021-01-09T13:00,1.4,78,-3.2,0.00,69
2021-01-09T14:00,1.6,73,-3.2,0.00,63
2021-01-09T15:00,1.7,72,-3.3,0.00,80
2021-01-09T16:00,1.3,74,-3.3,0.00,77
2021-01-09T17:00,0.2,80,-4.3,0.00,75
2021-01-09T18:00,-0.4,82,-4.9,0.00,59
2021-01-09T19:00,-0.5,82,-4.8,0.00,41
2021-01-09T20:00,-0.8,84,-5.2,0.00,28
2021-01-09T21:00,-1.0,85,-5.5,0.00,15
2021-01-09T22:00,-1.4,86,-5.8,0.00,11
2021-01-09T23:00,-1.4,83,-6.0,0.00,25
2021-01-10T00:00,-1.5,82,-6.2,0.00,14
2021-01-10T01:00,-1.7,82,-6.1,0.00,14
2021-01-10T02:00,-2.0,82,-6.3,0.00,9
2021-01-10T03:00,-2.2,82,-6.5,0.00,22
2021-01-10T04:00,-2.4,82,-6.7,0.00,38
